Imdb Rank,Title,Total Episode,Type,Mean Episode Rating,Mean Episode Rating Count,Global Rating,Global Rating Count,Duration (min),Genres,Start Year,End Year,url
148.0,Haikyu!!,89,TV Series,8.5,562.4,8.7,34114.0,24.0,"Animation ,Comedy ,Drama",2014,2020.0,https://www.imdb.com/title/tt3398540
149.0,The Offer,10,TV Mini Series,8.5,1264.9,8.6,38890.0,586.0,"Biography ,Drama",2022,2022.0,https://www.imdb.com/title/tt13111040
150.0,Gomorrah,58,TV Series,8.2,614.5,8.6,43955.0,55.0,"Crime ,Drama ,Thriller",2014,2021.0,https://www.imdb.com/title/tt2049116
151.0,Poirot,70,TV Series,7.6,1993.4,8.6,51348.0,100.0,"Crime ,Drama ,Mystery",1989,2013.0,https://www.imdb.com/title/tt0094525
152.0,Mr. Bean,15,TV Series,8.6,1839.5,8.6,131777.0,25.0,"Comedy ,Family",1990,1995.0,https://www.imdb.com/title/tt0096657
153.0,Mystery Science Theater 3000,199,TV Series,7.6,539.3,8.6,25716.0,92.0,"Comedy ,Sci-Fi",1988,1999.0,https://www.imdb.com/title/tt0094517
154.0,Scavengers Reign,12,TV Mini Series,8.5,546.8,8.7,13332.0,24.0,"Animation ,Adventure ,Drama",2023,2023.0,https://www.imdb.com/title/tt21056886
155.0,Blackadder the Third,6,TV Series,8.3,997.7,8.6,46754.0,180.0,Comedy,1987,1987.0,https://www.imdb.com/title/tt0092324
156.0,Demon Slayer: Kimetsu no Yaiba,66,TV Series,8.5,3986.1,8.6,142798.0,24.0,"Animation ,Action ,Adventure",2019,2050.0,https://www.imdb.com/title/tt9335498
157.0,Archer,144,TV Series,7.9,1295.1,8.6,164775.0,22.0,"Animation ,Action ,Comedy",2009,2023.0,https://www.imdb.com/title/tt1486217
158.0,Pose,26,TV Series,8.7,863.0,8.6,32486.0,60.0,Drama,2018,2021.0,https://www.imdb.com/title/tt7562112
159.0,Crash Landing on You,19,TV Series,8.6,518.9,8.7,40158.0,70.0,"Adventure ,Comedy ,Romance",2019,2020.0,https://www.imdb.com/title/tt10850932
160.0,Anne with an E,27,TV Series,8.7,2031.5,8.6,65102.0,60.0,"Drama ,Family",2017,2019.0,https://www.imdb.com/title/tt5421602
161.0,Young Justice,102,TV Series,8.9,2486.5,8.6,44936.0,23.0,"Animation ,Action ,Adventure",2010,2023.0,https://www.imdb.com/title/tt1641384
162.0,Dopesick,8,TV Mini Series,8.5,1706.1,8.6,75584.0,492.0,Drama,2021,2021.0,https://www.imdb.com/title/tt9174558
163.0,Yes Minister,22,TV Series,8.3,345.6,8.7,16357.0,30.0,Comedy,1980,1984.0,https://www.imdb.com/title/tt0080306
164.0,Greatest Events of WWII in Colour,10,TV Mini Series,8.3,505.6,8.7,10373.0,50.0,"Documentary ,History ,War",2019,2019.0,https://www.imdb.com/title/tt9103932
165.0,Yellowstone,53,TV Series,8.2,2278.8,8.7,211292.0,60.0,"Drama ,Western",2018,2050.0,https://www.imdb.com/title/tt4236770
166.0,The Bear,19,TV Series,8.5,6794.8,8.6,198349.0,35.0,"Comedy ,Drama",2022,2050.0,https://www.imdb.com/title/tt14452776
167.0,The Newsroom,25,TV Series,8.5,1820.5,8.6,123664.0,55.0,Drama,2012,2014.0,https://www.imdb.com/title/tt1870479
168.0,QI,333,TV Series,7.1,87.4,8.6,33421.0,30.0,"Comedy ,Game-Show",2003,2050.0,https://www.imdb.com/title/tt0380136
169.0,Mr Inbetween,26,TV Series,8.3,713.7,8.6,28624.0,30.0,"Crime ,Drama",2018,2021.0,https://www.imdb.com/title/tt7472896
170.0,Boardwalk Empire,56,TV Series,8.4,2197.6,8.6,201746.0,55.0,"Crime ,Drama",2010,2014.0,https://www.imdb.com/title/tt0979432
171.0,Justified,78,TV Series,8.4,1591.6,8.6,117321.0,3400.0,"Action ,Crime ,Drama",2010,2015.0,https://www.imdb.com/title/tt1489428
172.0,The Bugs Bunny Show,186,TV Series,7.5,18.0,8.6,35512.0,30.0,"Animation ,Comedy",1960,1975.0,https://www.imdb.com/title/tt0053488
173.0,The Haunting of Hill House,10,TV Mini Series,8.6,9835.5,8.6,284422.0,572.0,"Drama ,Horror ,Mystery",2018,2018.0,https://www.imdb.com/title/tt6763664
174.0,El Chavo del Ocho,356,TV Series,7.4,12.9,8.7,12455.0,30.0,"Comedy ,Family",1972,1983.0,https://www.imdb.com/title/tt0229889
175.0,The Bureau,50,TV Series,8.1,228.6,8.7,13881.0,52.0,"Drama ,Thriller",2015,2020.0,https://www.imdb.com/title/tt4063800
176.0,Homicide: Life on the Street,122,TV Series,8.1,145.4,8.7,14027.0,60.0,"Crime ,Drama ,Mystery",1993,1999.0,https://www.imdb.com/title/tt0106028
177.0,What We Do in the Shadows,51,TV Series,8.2,1911.9,8.6,100298.0,30.0,"Comedy ,Fantasy ,Horror",2019,2024.0,https://www.imdb.com/title/tt7908628
178.0,Justice League,52,TV Series,8.1,793.1,8.6,51189.0,22.0,"Animation ,Action ,Adventure",2001,2004.0,https://www.imdb.com/title/tt0275137
